,close,close,open,open,adjusted close,adjusted close,dividend amount,dividend amount,high,high,low,low,split coefficient,split coefficient,volume,volume
ticker,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ
date,,,,,,,,,,,,,,,,
2017-12-21,120.31,157.55,120.08,157.73,120.31,155.5875,0.0,0.0,120.45,158.25,120.0,157.37,1.0,1.0,4823709.0,18638679.0
2017-12-22,120.94,157.37,120.69,157.31,120.94,155.4097,0.0,0.0,121.14,157.432,120.57,156.95,1.0,1.0,5791312.0,23330440.0
2017-12-26,121.77,156.52,121.55,156.53,121.77,154.5703,0.0,0.0,121.87,156.72,121.51,155.95,1.0,1.0,8224411.0,21918720.0
2017-12-27,122.23,156.54,122.0,156.52,122.23,154.59,0.0,0.0,122.34,156.96,121.875,156.39,1.0,1.0,6232678.0,22388186.0
2017-12-28,122.85,156.73,122.82,157.05,122.85,154.7777,0.0,0.0,122.92,157.0653,122.56,156.54,1.0,1.0,5732725.0,25393825.0
2017-12-29,123.65,155.76,123.7,156.9,123.65,153.8198,0.0,0.0,124.085,156.9,123.46,155.7,1.0,1.0,7852109.0,33185962.0
2018-01-02,125.15,158.49,124.66,156.5,125.15,156.5158,0.0,0.0,125.18,158.525,124.39,156.17,1.0,1.0,11762515.0,32573272.0
2018-01-03,124.82,160.03,125.05,158.61,124.82,158.0366,0.0,0.0,125.09,160.17,124.101,158.61,1.0,1.0,7904326.0,29383557.0
2018-01-04,125.46,160.31,124.89,160.59,125.46,158.3131,0.0,0.0,125.85,160.79,124.74,160.0825,1.0,1.0,7329718.0,24776125.0
2018-01-05,125.33,161.92,124.93,161.04,125.33,159.903,0.0,0.0,125.48,162.03,124.83,160.77,1.0,1.0,5739904.0,26992340.0
2018-01-08,125.31,162.55,125.2,161.9,125.31,160.5252,0.0,0.0,125.32,162.63,124.9,161.86,1.0,1.0,3566707.0,23159061.0
2018-01-09,124.73,162.56,124.49,162.85,124.73,160.5351,0.0,0.0,124.86,163.04,124.23,162.07,1.0,1.0,9153584.0,24782448.0
2018-01-10,125.03,162.18,125.17,161.8,125.03,160.1598,0.0,0.0,125.31,162.21,124.72,161.12,1.0,1.0,14809303.0,34004028.0
2018-01-11,125.44,163.29,125.37,162.48,125.44,161.256,0.0,0.0,125.66,163.3,125.25,162.21,1.0,1.0,5994730.0,20473518.0
